no,cnName,enName,baituTier,enTier,chenTier,jpName,comment_jpwiki_cn,effect,baituDesc,enDesc,chenDesc
A071,除草铲,Clearing Spade,T4,,,掘り返しシャベル,如果田地有剩余，就能增加收获量。若有田地辅助或播种辅助，就更容易发挥作用。,"At any time, you can move 1 crop from a planted field containing at least 2 crops to an empty field.","费用：1w
效果：你可以随时把一块农田上的至多一个作 物，挪到另一个空田上
强度：本身-1 分，全靠发动效果，每制造一个 空田赚一分播种分
难度：4/5
用法：无配合的话，就是播种两次就可以赚， 第四季或第五季播种一次，快速收获，然后第 五季或第六季再播种一次，做满农业 搭配：首席林务官、年幼农夫、钙肥、密友 B093等强势播种卡，翻转犁、田间粘土等需要 播种的田的卡",,
A075,锯木厂,Lumber Mill,T2,,,木挽水車,序盘去两次石芦并拿出来会比较稳妥。也能确保用于增筑的芦苇。如果没有需要用木头的进步，就把石头留着以便打出其他大型进步。也能减轻井和家具制造所所需的木头。,Every improvement costs you 1 wood less.,"条件：不超过3 职业 费用：2s
效果：2 分，之后打出的发展卡省1w
强度：从成本上看，2s的时机大概是在打井 前，可以认为是放弃了半个井，一动打井的净 收益在5 分左右，因此成本在2.5 分。从效果 上，一般这张卡能带给我们4 个以上发展卡的 木头收益，因此价值在3.5+分左右。
难度：2/5
用法：轮抽时多拿木头次发，如果有着急第二 季打的木头次发，那就要第一季拿两次rsf，在 抢生前期就打出锯木厂，生娃时打木头次发就 好。如果次发卡都不着急而且前期职业不过3 张，可以考虑先控井再打锯木厂，鱼与熊掌都 要。 搭配：木头次发，切石，强化资源市场的职业 不搭：木材专家，除非有很多3 木卡",,
A078,独木舟,Canoe,T3,,,カヌー,如果芦苇很重的局面，即使单体也足够优秀。如果是要多次去捕鱼的情况，就拿篮筐制作吧,"Each time you use the ""Fishing"" accumulation space, you get an additional 1 food and 1 reed.","条件：1 职业 费用：2w
效果：1 分，每次你使用钓鱼累计行动格时，你 额外获得1f+1r
强度：本身亏1 分，但是每次触发都赚1 分左 右，无配合的话全局触发两次可以净赚1 分， 有配合触发5 次可以净赚4 分左右。
难度：3/5
用法：第一季准备好配合、扩屋资源、额外2 木，第二季生娃打出钓鱼，然后三四季抢一下 芦苇工坊。 搭配：钓鱼套",,
A080,采石钳,Stone Tongs,T4,B,,石ばさみ,还算不错的石头补助。基本上2石不会被拿太多，但3石往往会变得很热门，所以我想先用2石进去。,"Each time you use a stone accumulation space, you get 1 additional stone.","费用：1w
效果：每当你踩石头积累行动格时，额外获得 一个石头
强度：可以看作1w换0-2s，也就是-1 到1 之 间的收益。
难度：1/5
用法：没配合就早点打就好，当然不能影响收 益更高的前期卡，如果有消耗石头的手段，可 以更优先抓这张卡。 搭配：消耗石头的手段如雕塑课程、家具商、 士兵。石头积累配合卡如石材公司、石头打磨 工。","Stone Tongs Stone Tongs This is fantastic and compares very favorably to
cards like Stone Cart and Stone Exchange. Not only does it encourage you to
deny your opponents stone, but it also gives the stone up front, so that you
can use it immediately.",
A083,牧羊杖,Shepherd's Crook,T3,C,,羊飼いの杖,木14根做4格牧场×2的话就是4只羊,"Each time you fence a new pasture covering at least 4 farmyard spaces, you immediately get 2 sheep on this pasture.","费用：1w
效果：每当你围出一个面积不少于4 的圈地 时，在这个圈地内放2 羊（一个行动内可以多 次触发）
强度：正常的5 屋2田8 围或者4 屋3 田8围 等流派，可以吃到4 羊收益，基本上有3-5 分 价值，现在看来有T2 或者强T3 的水准。
难度：2/5
用法：基本上是要围14 木8 格圈地的，也可以 前期先围一个8 木4 格圈地把羊先养起来。 搭配：彻底重建（重新围栅栏，可以在原有基 础上多围3 木），先围11 木，拿2 羊，再彻底 重建围14 木，拿4 羊，总共收益6 羊。牧羊人 B104，织布机，黄油桶等用羊卡。","Shepherd's Crook Shepherd's Crook 2 sheep for 1 wood is an amazing deal, pure and
simple. Unfortunately, the huge requirement of wood (9!) prevents this from
being useful in the early game. If you're planning on using sheep for early
food, you probably have better options. However, for someone who's found a way
to eat early without sheep, you can't beat this efficiency as part of a mid to
late game fence play.",
A086,驯兽师,Animal Tamer,T3,C,,調教師,因为在中盘把繁殖体系搭好后，最后就更容易一口气把栅栏拉起来，因此更容易提升家畜点。因为能拿到小麦，所以不太容易吃亏，这点很开心。和牛的王子之间的Combo非常强力。,"When you play this card, you immediately get your choice of 1 wood or 1 grain. Instead of just 1 animal total, you can keep any 1 animal in each room of your house.","效果：打出时获得1麦或1木，然后你的每个房子都可以养殖一个动物，而不是只能养殖一个。
强度：中期的饲养空间每3个价值1分，为什么这么说呢？因为三个空间就可以让一类动物繁殖而不用仍了，那么，在四房时打出驯兽师，本身就有着1分红利，此外，麦子也有着2分，可见稳定收益就有3分，十分稳健值得打出。而且，他还能够提高游戏末的饲养空间上限，让动物多的玩家不需要打马厩，也省了木头和行动。
难度：3/5
用法：前中期扩到3后就可以打出，最好第二季或者第三季开始养2羊，然后每季煮了吃。或者可以等扩到5时打出，拿两种动物顺便补围。配合：15石屋套","Animal Tamer Playing him immediately gives you an extra stable and quickly becomes an extra
pasture after that (sans VPs). Usually worth it if you plan to get to 4 rooms
or more, since it lets you avoid spending precious wood and actions on early
fences/stables. Instead, you get to do what you want to do anyway - build more
rooms!",
A087,管理员,Conservator,T2,A,,修理屋,在砖头很重的场合尤其开心。石匠连携也更容易瞄准。有资材的话也可以进行砖头改建,You can renovate your wooden house directly to stone without renovating it to clay first.,"效果：木屋翻修可以翻石屋强度：这卡就算没有任何配合，也可以省下 4 砖 1 芦1 优质动，前者加起来至少有 5 分。而你损失的只有一次主发机会。大部分情况下，主发打一次就用光石头了，所以不用担心，你只损失了一次次发机会。这样看来收益至少 4 分。他真正强在两点：大家抢翻修时你可以不抢也能翻修到石屋。另外，你可以很早打出石屋卡，就算你是四房。主要你后几手抓到学者B097*，御犁 A090*等，这把游戏将十分快乐。
难度：2/5
用法：有配合四房翻修，没配合第五季出。
搭配：石屋套
不搭：任何拿主发的套路，任何翻修奖励卡 比如采矿锤 娴熟翻修
变体：有一种套路是用管理员卡掉别人的翻修，净收益增加 5 分左右。别人看你没砖，放心不翻修，然后你 R13 抢先管理员，占掉最后一回合翻修，对方就傻眼了。新卡环境下 翻修变得更加简单 这张卡会下调到 T2 左右","Conservator Obviously redonkulous. This saves youâ€š what? 1 reed, 3-5 clay, and 1 renovation
action? Absurd. One supposed weakness to the occ is that you don't get to play a free
Major/Minor Improvement. However, this isn't a valid concern. Let's compare
someone who renovates fairly and someone who uses the Conservator and then
spends an action on the Major/Minor Improvement space. The 'fair' player: Spends 2 actions renovating Spends about 1 action collecting 3-5 clay Spends about 1/2 of an action collecting 1 reed The Conservator: Spends 1 action playing the Conservator Spends 1 action renovating Spends 1 action playing major/minor improvement Even in this case the Conservator is better (he saves about half an action).
However, the Conservator has 2 additional benefits on top of that: 1) You don't have to buy the Major improvement if there is a more efficient way
of gaining points. For instance, rather than spending 1A on 3 stone and 1A on
Major/Minor to get a well, you can just plow 2 fields. 2) You can wait until much later to renovate. Because of the limited number of
renovation spots, the 'fair' player needs to renovate to clay fairly
early if he wants to get to stone. That means he also has to collect clay and
reed fairly early. The Conservator can just wait until the last possible
moment. I have played this card literally every time I've gotten him, and I'm pretty
sure I've never made a mistake in doing so. In competitive games where
resources are tight, he has singlehandedly won me the game by ensuring me a
stone renovation that otherwise would have been impossible. That's a good sign
of a five star card.",
A088,篱笆护理员,Hedge Keeper,T4,C,,生け垣管理人,只要哪怕去一次柵，就相当于干了3木的活，回本了。也能在改筑柵的空间触发。和腹心の友等进行「柵の建設」行动的卡片联动。,"Each time you take a ""Build Fences"" action, you do not have to pay wood for 3 of the fences you build.","效果：每次执行修栅栏行动时，可以省3木
强度：早围卡，这张卡应当是有T3强度的，当时低估了放到T4。这张卡打出来就是要围2-3次的，围第二次和第三次都是拿不到3木，只能拿到2木的强化弱动，只有第一次围是货真价实的3w收益，因此3w+1w或3w+1w+1w收益，也就是3-5收益。
难度：2/5
用法：这张卡应该在第四季甚至更早围第一次，然后动物放不下时及时围第二次补充。轮抽时如果有别的篱笆卡就会很舒服，如木材贸易商。
变体：密友B093 篱笆，强势组合，省12w+1动，比T0卡密友、线人都要强势","Hedge Keeper If you build fences twice, this is worth 6 wood. Not a bad deal if you want a
lot of fences.",
A090,御犁者,Plow Driver,T2,E,,鋤職人,在石家系卡牌之中也是卡牌强度较高的一张。如果是田地辅助较少的对局环境，优先级会相当高。,"Once you live in a stone house, at the start of each round, you can pay 1 food to plow 1 field.","效果：如果你住在石屋，每回合开始可以花1f犁1田
强度：每触发一次收益1.5分，满收益可以达到8以上，石屋套都不可小觑
难度：3/5
用法：和学者B097类似，但是不那么着急，第四季甚至第五季出都行，不一定需要配合，三石屋开始犁就好。搭配：石屋套
变体：学者御，学者打出御的当前回合就可以犁田","Plow Driver This is another card that asks you to get a stone renovation unreasonably
early. He compares unfavorably to the Plow Maker, which isn't even a good card.",
A092,养父母,Adoptive Parents,T3,E,,養父母,只要有饭，最多可以增加3手。有时即使在最快增员时也能加以利用。增员之后再打出这张卡也能发动效果。,"For 1 food, you can take an action with offspring in the same round you get it. If you do, the offspring does not count as ""newborn"".","效果：你在版图上有未长大的孩子时，可以花费1f让他变成长大的孩子，回到房间里，本回合可以使用他。若如此做，喂食阶段，他视为成人。
强度：表面上看是3f换3动，4.5-的收益。但是实际上，如果你每在收获阶段也就是奇数回合生娃使用养父母，都会亏损1f作为喂养。也就是3-4.5的长反馈收益。但是如果你能高效获取食物，又能保障在偶数回合生娃，这张卡收益拉满甚至接近6。
难度：4/5
用法：考验技巧的卡，没有早扩且早食物的话，可能会入不敷出。推荐有扩屋卡+前期食物引擎时使用。如果要使用，请在前六回合打出，不要影响生娃节奏。搭配：扩屋卡，海外援助
变体：养父母+新卡小农民，碰见超生一回合生3娃","Adoptive Parents User Hammerite argues that the card is playable, saying that it gives you 2
actions for the cost of 4 food. He explains: if !supportLineBreakNewLine endif",
A098,马厩艺术家,Stable Architect,T3,,,厩建築士,基本上木材用来做栅栏会更强。用于应对栅栏事故，以及和其他厩系卡牌搭配一起用,"During scoring, you get 1 bonus point for each unfenced stable in your farmyard.","效果：每个不在圈地的马厩计1分。
强度：圈地外的马厩是有用的，因为可以早期养动物，也可以4马厩，后期围4。适合早养动物，后期2/3田的流派。而且是马厩流的提上限卡。超短反馈4分。
难度：2/5
用法：1到4季第一次扩屋时先造几个马厩养动物，第二次扩屋再补到3-4马厩，然后第4-5季可以拿一次1动物吃低保。第5-6季围12木4格，拿最后一种动物，打马厩艺术家。搭配：泥耙等马厩流卡牌不搭：3田以上的犁田卡",,
A102,杂货商,Grocer,T1,B,,小売人,如果有足够的饭基盘会非常强力。等食料基盘稳定后再出会比较稳妥，但在前期就出，去渔小剧场回收木芦的打法也不坏。那种情况下就拿窑来烤面包吧。,"Pile the following goods on this card (wood, grain, reed, stone, vegetable, clay, reed, vegetable). At any time, you can buy the top good for 1 food.","效果：把木麦卢石菜砖卢菜从上到下放到卡牌上，随时可以用1饭换最上面的资源。
强度：最强的食物换分卡，8饭换5建筑材料+1麦+2菜。也就是4分换3.5分+6分，收益可以达到5.5分。一张卡把农业打满分。
难度：4/5
用法：这张卡有两大难度，一是你要在犁播前至少有2田+足够食物供给换到菜。甚至3田+1麦+足够食物；又或者4田+2麦+足够食物，才能把农业打满。另一点难度是不浪费建筑材料，这涉及到两点，一是他的砖出的很晚，你要在翻修砖屋时解决食物问题才能不浪费，但也不能太贪，自己翻修不上才是血亏。另一点送两个芦苇让芦苇很容易浪费，后期尽量谨慎拿rsf（卢石饭）。搭配：犁田卡，食物卡（如烘培陶瓷，书柜烈酒）不搭：其他废食物卡
变体：讲一个窍门 播烤时如果食物不够，可以先烤掉手头的麦子，再换麦子出来播种","Grocer Once you get the grain and the veggie, he's already paid for himself in actions
since normally you have to use a full action to take either. The resources you
get along the way are gravy. That said, you're going to need a good food engine to support him. I've seen at
least a couple of times where someone plays him and then is forced to leave him
unused as they scramble to feed their family. However, provided you are able to support him, he is extremely powerful.",
A108,采菇人,Mushroom Collector,T2,B,,キノコ探し,1木→2饭不是坏的效率。特别是在方向性还没确定的情况下，基本上每次都用这个效果吧。,"Immediately after each time you use a wood accumulation space, you can exchange 1 wood for 2 food. If you do, place the wood on the accumulation space.","效果：去木头积累格可以返还一w到该格，获得2f
强度：这张卡本身近乎无收益，全局1w都接近2f的价值。但他有几个优点，首先第一季不用踩钓鱼卖艺，然后可以多踩木头，让木头贬值，那这张卡本身就获得了价值。最终也是最重要的，打这张卡也在赌木头套装，但凡有个伐木就很舒服，因为伐木和这张卡的触发都会很多次，还能解决食物。
难度：1/5
用法：第一回合打出，然后踩一次2w，两次3w，甚至4w，攒够扩的资源。要注意优先rsf或者2r。搭配：木头套不搭：零工套 其他用木头的卡如造纸 鱼叉猎手这张卡和伐木工都介于弱T2-强T3之间，本质上是赌配合，其实更接近T3","Mushroom Collector Amazingly strong. He's basically a Cabinetmaker that gets to use his ability
every time you take wood. If you play him, you're pretty much taking wood every
time you can. In that time, he generates an absurd amount of food - usually
enough for the first two harvests. He also gives you plenty of wood, of course.
Since you have such a large incentive to take wood, you're taking it much more
often than usual, which balances out the wood you have to leave behind. Mushroom Collector can be risky in 2-p. Because he leaves behind a wood, your
opponent will usually want to take the 4W (a very strong spot for 2-p) and deny
you the food.",
A110,粗轧机,Roughcaster,T4,,,仕立屋,即使增建多块砖房也只能拿到3饭，这点太致命了,"Each time you build at least 1 clay room or renovate your house from clay to stone, you also get 3 food.","效果：每当你扩建至少一间砖屋或者从砖屋翻修到石屋时，获得3f。
强度：饭职业，一局能触发2次就赚了。要至少扩1间砖屋的。基础收益1.5，每多扩一间砖屋，多1.5收益。
难度：2/5
用法：砖扩食物卡，早点打，一间间扩就好。搭配：砖扩卡不搭：管理员，木扩卡",,
A111,,Wall Builder,,,,壁装飾人,即使一次增筑2栋，也只会发动1次。在忙着增筑增员的场面里，打出后再下4吃饭有点太悠长。如果有日曜大工或建筑的狮子之类的增筑手压缩，表现还算不错。,"Each time you build at least 1 room, you can place 1 food on each of the next 4 round spaces. At the start of these rounds, you get the food.",,,
A112,镰刀工,Scythe Worker,T4,,,大鎌使い,有了田地补助的话，就更容易把额外收获的小麦再播种并加以利用。,"When you play this card, you immediately get 1 grain. In the field phase of each harvest, you can harvest 1 additional grain from each of your grain fields.","效果：打出时得1麦，收获阶段每个麦田可以额外收获一麦
强度：几乎没有实用性，不产生额外价值，可以看作是1麦的2分卡
难度：1/5
用法：如果早期用农巡套做麦田的话，可以用来提高麦田的迭代效率。或者R13/14补一个麦子，又或者打职业套顺手得1麦。配合：职业套，农巡套",,
A114,季节工,Seasonal Worker,T2,A,,季節労働者,在厨房也好在窑也好都能吃。中盘以后想要能把拿到的种子播下去。没有种子系连招或日雇连招的话，力量会有点不足。,"Each time you use the ""Day Laborer"" action space, you get 1 additional grain. From round 6 on, you can choose to get 1 vegetable instead.","效果：踩零工给1麦，第六回合起可以选择一菜代替一麦
强度：理论上有10饭强度，因为3麦2菜是播种必需品，但是往往有别的种子获取手段，且犁5田才能播下去，所以往往到不了5分强度
难度：1/5
用法：R1/2出强化弱动，拿烤炉。或者第三四季出 踩四五次一播种搭配：其他零工套，犁田卡，胡萝卜D079不搭：2田流","Seasonal Worker This guy would be worth playing even without the vegetable clause. As is, he's
simply amazing. He generates a ton of food early as you get your grain engine
set up, and then gives you early veggies (plus more food!) in stage 2. This is
a pet favorite of many people at BGG, and with good reason.",
A116,伐木工,Wood Cutter,T2,,,木こり,如果首手打出的话，大概能产出8木左右。有像各种犁系那样、能用木来进行手牌压缩的卡就更好了。,"Each time you use a wood accumulation space, you get 1 additional wood.","效果：踩木头积累行动格 多拿1木
强度：有伐木的话 一局一般踩6次木头，可以说是接近长反馈6w，最大的缺点在于是张前期卡，一二回合打出最有效果。
难度：1/5
用法：注意一点，木头贬值了，因此绝大部分情况下不要拿2w，中期也不用太抢3w。四房早围是推荐节奏。搭配：木头推车 采莓 以及新卡林业研究 护林员等不搭：旧卡娴熟翻修，冥顽之人，新卡线人等变木头卡 会让木头更加贬值，使得伐木工触发次数减少
变体：伐木木推，要想办法舒适地打出三职业，第二季抢生时打出木推这张卡已被下调为T3",,
A119,捡木人,Firewood Collector,T3,,,薪集め,序盘想抢小麦田时打出来的话，即使只打一阶段也能出3~4木。,"Each time you use the ""Farmland"", ""Grain Seeds"", Grain Utilization"", or ""Cultivation"" action space, at the end of that turn, you get 1 wood.","效果：每当你使用了小麦种子、犁田、播烤、犁播行动格后，行动结束后你获得1w。
强度：全局基本要求4田1播1麦，这样就有6木了，短反馈4-8木的收益。但是种子卡、犁田卡、播种卡都会削弱他。
难度：2/5
用法：开始发展农业前打出即可，基本上走先农后牧的套路，畜牧的发展会受限制。搭配：早期麦子扩生套不搭：减轻农业行动数量的卡，要求早围的卡
变体：早期麦子扩生套，比如捡木人+干草叉+茅草+卧室，可以踩3田1麦1播，得5木，然后干草叉茅草卧室生娃。农巡、新卡麦田里的床等也可以配合。",,
A120,粘土小屋建造者,Clay Hut Builder,T3,C,,レンガ大工,如果没有改筑补助，把掉下来的砖用于增筑往往会有点拖沓。要是也能准备好除增筑以外的用法就更好了。,"Once you no longer live in a wooden house, place 2 clay on each of the next 5 round spaces. At the start of these rounds, you get the clay.","效果：一旦你不住在木屋，往之后五个回合各摆2c，每回合开始获得
强度：开局多的玩家都知道，粘土会在四五季进行一次贬值，贬值前只比木头廉价一点点，贬值后基本相当于半个木头的价值。但这个贬值的关键变化点在哪里呢？在于大多数玩家不再发愁翻砖屋和炉子。也就是说，同样多的砖，砖在早期来买炉子和翻修是更高效的，砖用来扩屋和打砖工是更低效的。因此，粘土小屋建造者给的10c中，基本都是低效的，粘土小屋建造者总收益大概5分+。
难度：3/5
用法：用法在于早翻石屋，这样子你可以早出砖工或者炉子，把低效砖变成高效砖。
变体：粘土小屋建造者也可以成为石屋套的一员，也可以成为砖扩套的一员。","Clay Hut Builder Awkward since it encourages an early renovation. Because renovations are worth
nothing but VPs, you prefer to renovate later in the game. Still, it's hard to
deny the card's power. The 10 clay this gives you is enough to build two clay
rooms all on its own, making the occ often worth it.",
A123,架梁工,Frame Builder,T3,E,,梁打ち,只要用2木代替砖改筑与石改筑份的2砖2石，也能达到及格的效果。在砖很重的局里尤其亮眼。,"Each time you build a room/renovate, but only once per room/action, you can replace exactly 2 clay or 2 stone with 1 wood.","效果：翻修和造每间房子时，可以用1w代替2c或者2s。
强度：可以当做低配砌砖工用，也可以直接扩石屋，更可以翻修时省2c2s，灵活用。如果只是翻修时用，价值差不多短反馈2分。
难度：3/5
用法：主要是配合支柱、木匠、泥土修补、黏土小屋建造、共济会等砖扩，石扩卡。偶尔也可以翻修时用到，在卷砖、卷石、木头富裕的局有着不亏的价值。","Frame Builder Clearly you need to be building clay and/or stone rooms to make this Occupation
worth it. Building any non-wood rooms is usually a bad idea, and this doesn't
help matters enough to make me change my mind. This is really just another bad
conversion Occ in disguise. This time, one wood for 1 clay or 1 stone is an
actually good deal, but you have to jump through an extremely impractical hoop
to use it.",
A125,神父,Priest,T4,,,聖職者,与其他卡牌组合。不管是砖块扩建还是石屋连招都行。,"When you play this card, if you live in a clay house with exactly 2 rooms, you immediately get 3 clay, 2 reed, and 2 stone.","效果：打出次卡时，如果你住在2砖屋，立即获得3c+2r+2s。
强度：2屋流和砖扩的中流砥柱卡，代价是末生。强度可以到5.5-7之间。
难度：4/5
用法：你能早生就老老实实扩一间木屋再翻扩砖屋也不迟，如果不能生再考虑翻修打这张。比如说5生局上家抢先了，你就老老实实扩间木屋，5翻局或者有早翻卡再打这张。",,
A133,吹牛大王,Braggart,T0,B,,ほら吹き,最强的奖励分卡。不要过于沉迷于出进步，至少要以达到最低限度的村长盘面为目标，这样分数会更稳定。,"During the scoring, you get 2/3/4/5/7/9 bonus points for having at least 5/6/7/8/9/10 improvements in front of you.","效果：游戏结束时面前有6/7/8/9/10张发展卡时，获得1/3/5/7/9分 。
强度：5-9分
难度：4/5
用法：这张卡虽然强，但是打出上限还是比较难的（注意，这里的上限指的是这局游戏获得的分数，而不是通过这张卡获得的分数）。轮抽时多拿一些便宜次发，或者是便于抢主发的卡。这张卡由于要打2-4张主发，打满次发，因此缺动，需要有高效补分手段。因此，千万不要拿强化弱动的组合，因为你动本来就少，比如钓鱼套、零工套等。搭配：瓦匠B095，蓝图C027，商人C096，切石A143，锯木厂，垃圾房，贫农D132等。
变体：这张卡推荐早翻，因为你踩发展卡格子打主发效率太低，但是晚翻的话，就没有什么好用的主发了，因此不太建议5房，三四房时提前准备砖头和石头，就要做翻修打炉/井的考虑了。一般三张主发，拿炉子、井、第二个炉子或工坊，是比较理想的。","Braggart 9 points? NINE POINTS! This card can easily win you the game by itself, and is the most common way
I've seen players score higher than 60 points. Harnessing the Occ's power is no
cakewalk, but when correctly played with the right combination of cards, this
is pretty much unstoppable. I admit my rating scale breaks down a bit here - if you only look at the
percentage of time he is playable, he is probably a three star card. However, I
give the extra star simply because of his raw power - he's engineered more flat
out blowouts and unreal comebacks than any other card I can think of. The card is also easily a 5 star card in draft, where you can tailor your hand
to include many cheap improvements.",
A138,鱼叉猎手,Harpooner,T1,,,もり打ち,木材会稍微容易不足，但作为优先增员玩法的食物基础非常优秀。要有意识地获取篮筐制作。捕鱼的连招也很多。,"Each time you use the ""Fishing"" accumulation space you can also pay 1 wood to get 1 food for each person you have, and 1 reed","效果：踩钓鱼行动格时可以1木换1芦苇+n饭，n=当前家庭人数
强度：考虑第三季三人口时打出，每两回合用一次，用四次，平均4人口的话，花4木换4芦苇16饭。后期木头换芦苇略亏，但是可以忽略不计，因为鱼叉猎手基本上可以控到芦苇工坊。考虑是末动踩2食物钓鱼，一共获得16+24=24饭，正常情况下末动可以拿到4饭，也就是超额收益8饭。考虑到第一次钓鱼时可以拿到4饭钓鱼，那么超额收益至少是10饭。至少有着5分的收益。此外，钓鱼牌在轮抽时容易抓到配合，鱼叉猎手作为旧卡钓鱼牌中唯一稳赚的卡，一抓二抓拿到可以期望自己拿到好几张钓鱼组合，毕竟别的钓鱼卡没人要。
难度：2/5
用法：如上，第三四季至少三人口时打出。或者没有别的前期职业在第一季打出赚芦苇。搭配：独木舟，水上工人D144等钓鱼卡，套索、蓝图C027等用芦苇卡，而且要人口多才强，适合抢生卡比如木斧小屋，鸟巢不搭：任何需求木头量打的卡，任何产食物多的卡（要保证资源均衡）典型的是造纸人B109。由于是强化弱动，跟零工套很不搭配，也和早翻修的套不搭配，因为生的慢
变体：第一季打出时，要注意不要过早踩钓鱼，三到四饭去踩比较理想，而且尽早拿石头控到芦苇工坊，不然芦苇会飞速贬值，平时多拿木头",,
A143,切石工,Stonecutter,T2,C,,石切り,普通使用的话，改建和大进也就最多减免3个左右。有家具工匠小屋等强力的石料成本小进步的话，优先度会提高。和建筑设计图非常搭配。,"Every improvement, room, and renovation costs you 1 stone less.","效果：造房子 发展卡 翻修省1s
强度：翻修省一次，发展卡省2-3次，就有3-4分水平了，单卡也是能看的
难度：3/5
用法：这张卡比较考验游戏理解，什么时候打出，什么时候翻修，什么时候控制哪些主要发展卡。搭配：蓝图C027 商人C096 吹牛大王等控主发卡锯木厂等关键石头次发不搭：瓦匠B095等
变体：切石蓝图C027，前三季打出，搬空工坊，要注意控制好木砖卢的数量","Stone Cutter Worth it if you plan on buying a clay oven, since this guy can save you a full
action in that case. He can also be a good play if you have some random 1 stone
minor improvements in your hand.",
A147,牲畜交易官,Animal Dealer,T3,B,,家畜追い,与调理场配套运用比较稳妥，但也可以在没有调理场的情况下于后期打出，干脆当作繁殖用来启动，效果也还不错。可选择是在拿家畜之前先启动效果（不能在0食料的状态下先把家畜烤了再支付食料）,"Each time you use the ""Sheep Market"", ""Pig Market"", ""or ""Cattle Market"" accumulation space, you can buy 1 additional animal of the respective type for 1 food.","效果：每次踩动物积累格前，可以花1f买一个相应动物。
强度：除非食物极度充裕，否则这张卡拿到2个以上的动物一般是烤了吃。一般有壁炉用得起，踩一次牛赚3f，踩一次猪赚2f，一次羊赚1f的，各踩一次就有短反馈6f了，适合多踩动物的流派。
难度：2/5
用法：注意事项就是踩之前要有食物，不能拿了动物再烤了再买。搭配：套索，宠物爱好者
变体：套索+牲畜交易官，跟抢似的。。第一动不拿动物就得被他抢光","Animal Dealer If you choose to just eat the extra animals immediately, this is going to be a
6 food play if you only take every animal once - almost worth it, but not quite
given that the food is given over time. However, this guy is much stronger than that. He lets you be the first person
to get 2 of an animal, which is especially important if an animal card comes up
the turn before a harvest. He also allows you to spam the animal spots for
food, denying other players from getting the animals they need. Superb.",
A155,杂耍艺人,Conjurer,T3,C,,奇術師,如果没有其他小麦补助的话，单体也不算差。,"Each time you use the ""traveling Players"" accumulation space, you get an additional 1 wood and 1 grain.","效果：卖艺时可以额外获得1木1麦
强度：不贪的话收益可观，常驻卖艺的话，第一季3f吃卖艺，第二季4f吃卖艺，然后再吃两次卖艺，一共吃4次，虽然损失了2-4饭左右，但是获得了4木4麦，单卡价值6-7分的下限收益。缺点是前期打出和要有规划，毕竟要在特定的回合踩卖艺，但凡损失了一次卖艺被人踩了，就是少了2分左右的收益，
难度：4/5
用法：新手推荐在R3/4，R7，R10/11，R13/14踩，老手可以R3/4、R8/9，R13/14踩。关键点在于判断场上食物的充裕程度。与一般人对战还要考虑心理因素，一般玩家往往会在收获回合优先解决吃饭问题，因此可以在非吃饭回合用末动去踩卖艺，错峰田忌赛马，用劣动取得优势。搭配：新卡卖艺套不搭：琵琶演奏A160，木偶等哄骗别人卖艺套","Conjurer This is obviously worse than the seasonal worker, but not much more so. Playing
it turn 1 and then taking TP on rounds 2 and 4 is an ok way to get a grain
engine started.",
A160,琵琶演奏家,Lutenist,T3,,,リュート奏者,如果在选秀时看起来会有小剧场Combo的话，就把它加入选项中,"Each time another player uses the ""Traveling Players"" accumulation space, you get 1 food and 1 wood. Immediately after, you can buy exactly 1 vegetable for 2 food.","效果：每次其他玩家卖艺时，你获得1木+1饭，并且可以用2饭买一菜
强度：和木偶艺人一致，全局大致3-4次卖艺，一共3w3f，并且买菜相当于1收益，相当于长反馈5.5+收益。
难度：2/5
用法：和木偶类似，R3/4打出，并且要注意踩住第一季的钓鱼。注意不要抓太多前期卡。",,
A165,喂猪人,Pig Breeder,T3,E,,猪飼い,大致是2猪的效果。也有在最终回合没有猪时打出的手段,"When you play this card, you immediately get 1 wild boar. Your wild boar breed at the end of round 12 (if there is room for the new wild boar).","效果：打出时立即获得1猪，你的猪可以在12回合结束时生育（仍然需要父母和饲养空间，且这不是繁殖行动）
强度：分类讨论，如果你打出这张卡不拿猪，你只能获得1猪，超短反馈2收益。如果你打出这张卡拿了1-2猪，你获得了2额外猪，但是此时猪对你已经贬值了，2猪要么作为1分，要么作为6饭，顶多是短反馈3收益。
难度：2/5
用法：提前想好要不要12回合繁殖猪，不要想繁殖所以11回合打出，但是没繁殖成功，这样白白亏了，不如14回合打出。轮抽时拿了主要是作为2分卡，用来补猪。","Pig Breeder 1 boar? What are you going to do with one boar? This is basically the same card
as the Cattle Breeder, except early boar are much less impressive than early
cattle.",
B002,迷你圈地,Mini Pasture,T2,,,小牧場,前期就能打出并确保繁殖空间这点很开心。可以的话想在厨房里吃下去。,"Immediately fence a farmyard space, without paying wood for the fences. (If you already have pastures, the new one must be adjacent to an existing one.)","费用：2f
效果：传递卡，立即免费围一个11 的圈地
强度：4 木+卡，因为早围可以拿一点动物，因 此大概有4-5 分左右，强T2 卡，净收益3-4分
难度：1/5
用法：晚点打出，这么好用的卡别便宜下家 乐，唯一的缺点就是传递卡 搭配：早围卡，如矿物饲料，首锅流",,
